deviant_position,channel_matlab,start_ms,end_ms,direction,cluster_mass,p_corrected,significant
1,27,110,111,rep1_above_rep15,4.223707047533892,0.994,False
1,27,122,123,rep1_above_rep15,4.024673745705108,0.9972,False
1,27,128,136,rep1_above_rep15,22.59290690304695,0.6206,False
1,27,171,199,rep1_above_rep15,75.12110985136317,0.1014,False
1,27,255,256,rep1_above_rep15,4.1706929476108865,0.9948,False
1,27,56,64,rep15_above_rep1,18.40016708340544,0.7284,False
2,12,40,45,rep1_above_rep15,13.060180412999145,0.8752,False
2,12,121,125,rep1_above_rep15,10.687822747001519,0.9364,False
2,12,136,138,rep1_above_rep15,6.08810104761796,0.9908,False
2,12,187,188,rep1_above_rep15,4.211142898098084,0.994,False
2,12,345,345,rep1_above_rep15,2.074790506680678,0.9974,False
2,12,65,82,rep15_above_rep1,44.70339067636721,0.274,False
3,18,41,42,rep15_above_rep1,4.235326324064067,0.9938,False
3,18,48,107,rep15_above_rep1,200.94378298591477,0.0068,True
3,18,360,360,rep15_above_rep1,2.0325818288215225,0.9984,False
