deviant_position,start_ms,end_ms,cluster_mass,p_corrected,significant
1,5,5,0.003999989509582469,1.0,False
1,45,85,0.41999990558624256,0.0002,True
1,105,110,0.05599997901916498,0.4864,False
1,120,135,0.15999995803833,0.0262,True
1,145,145,0.03199998140335081,0.8988,False
1,155,160,0.10799997901916503,0.0942,False
1,195,195,0.023999997615814173,0.9424,False
1,215,240,0.2519999451637267,0.0032,True
1,250,250,0.055999989509582515,0.4864,False
1,280,280,0.05199998950958251,0.5004,False
1,315,315,0.055999989509582515,0.4864,False
1,325,325,0.023999989509582487,0.9424,False
1,340,340,0.05199998950958251,0.5004,False
1,365,365,0.02799998950958249,0.9406,False
1,395,395,0.02799998950958249,0.9406,False
1,430,430,0.007999989509582472,0.9994,False
1,450,455,0.03599997901916496,0.8378,False
2,40,40,0.01599998950958248,0.9878,False
2,70,70,0.02799998950958249,0.9406,False
2,80,80,0.01599998950958248,0.9878,False
2,95,95,0.003999989509582469,1.0,False
2,110,110,0.007999989509582472,0.9994,False
2,130,145,0.06399994993209823,0.3804,False
2,215,355,2.155999711990357,0.0002,True
2,365,420,0.50799987411499,0.0002,True
2,440,440,0.011999989509582476,0.9952,False
2,550,550,0.043999989509582504,0.6428,False
2,575,575,0.023999989509582487,0.9424,False
3,70,70,0.019999989509582483,0.9712,False
3,325,325,0.019999989509582483,0.9712,False
3,395,435,0.7119998974800109,0.0002,True
3,455,500,0.2479998788833615,0.0038,True
3,510,600,1.171999768257141,0.0002,True
