deviant_position,roving_block,repetition,mean_single_block_gfp_0_180_ms
1,1,1,1.4014829551267636
1,1,2,1.970196489135809
1,1,3,1.6732844709298225
1,1,4,1.3937716913140668
1,1,5,1.8648224136848912
1,1,6,1.0350815840274032
1,1,7,1.6618414468897782
1,1,8,1.648912274609084
1,1,9,1.3899159905955616
1,1,10,1.1023953510162499
1,1,11,1.4196752833967312
1,1,12,1.4883726576089653
1,1,13,1.7398426756892462
1,1,14,1.1787942723704707
1,1,15,1.4923425494022287
1,2,1,1.4630807082315838
1,2,2,0.8037392266810385
1,2,3,1.5135824790122834
1,2,4,1.4182161633099044
1,2,5,1.3623985937415628
1,2,6,1.4868165043063861
1,2,7,1.0355786945217442
1,2,8,1.4317668578799796
1,2,9,1.3250070783806007
1,2,10,1.2221654344723079
1,2,11,1.3045438613283236
1,2,12,1.7483690352727825
1,2,13,1.4010340110630306
1,2,14,1.331369712893161
1,2,15,0.9767408001987387
1,3,1,1.0248229875289108
1,3,2,3.581161326447934
1,3,3,1.637480046528022
1,3,4,1.1968049346431253
1,3,5,1.0770735721170677
1,3,6,1.537907870481281
1,3,7,1.414687182159124
1,3,8,1.382059399961709
1,3,9,1.398406161543077
1,3,10,1.8588167791831953
1,3,11,1.8668450752820307
1,3,12,1.398592180480057
1,3,13,1.0544613891154524
1,3,14,1.1180699804464762
1,3,15,1.7193109608756214
1,4,1,1.3779258326195343
1,4,2,1.1874554297231692
1,4,3,1.468465316356447
1,4,4,1.4045799375994952
1,4,5,0.9906205993145544
1,4,6,1.1539475231721592
1,4,7,1.4166128269226779
1,4,8,1.2745407479837834
1,4,9,1.3493468848514694
1,4,10,0.9454341655278856
1,4,11,1.3348937671033847
1,4,12,1.7134437256850217
1,4,13,1.043090854185695
1,4,14,1.0396496380793012
1,4,15,1.4844238598252535
1,5,1,1.039733092010235
1,5,2,1.1360138185307938
1,5,3,1.5360216619646074
1,5,4,1.1926225814732916
1,5,5,1.5848079815760396
1,5,6,1.8488785791657303
1,5,7,1.2945394929213714
1,5,8,2.1773769520251127
1,5,9,1.3059174170137324
1,5,10,1.1183173995256033
1,5,11,1.7816022041934718
1,5,12,2.3067229598346928
1,5,13,1.7339785079320842
1,5,14,1.6524112998345575
1,5,15,1.1385589985060374
1,6,1,1.4306825065668027
1,6,2,1.2453067116549095
1,6,3,1.499266423427148
1,6,4,1.350848528705242
1,6,5,0.7733301916507977
1,6,6,1.575619835233482
1,6,7,1.3038865026037822
1,6,8,1.1628560756892727
1,6,9,1.1499862554528484
1,6,10,1.1746209144977202
1,6,11,1.3819917743610888
1,6,12,1.574538623469073
1,6,13,1.4879817838565137
1,6,14,1.4197307175071197
1,6,15,1.4450246787155088
1,7,1,1.4620843121455376
1,7,2,1.718321664479714
1,7,3,1.8645373102595317
