deviant_position,time_from_deviant_ms,auc
1,0,0.499904
1,1,0.516096
1,2,0.52672
1,3,0.525888
1,4,0.536576
1,5,0.53696
1,6,0.521408
1,7,0.49792
1,8,0.488
1,9,0.47968
1,10,0.478016
1,11,0.492992
1,12,0.517184
1,13,0.54048
1,14,0.542848
1,15,0.528576
1,16,0.515712
1,17,0.51808
1,18,0.520768
1,19,0.515456
1,20,0.526912
1,21,0.541504
1,22,0.539584
1,23,0.52128
1,24,0.477248
1,25,0.444224
1,26,0.436928
1,27,0.419904
1,28,0.425472
1,29,0.45952
1,30,0.506688
1,31,0.570112
1,32,0.617792
1,33,0.608064
1,34,0.57472
1,35,0.544192
1,36,0.548928
1,37,0.572416
1,38,0.576
1,39,0.56512
1,40,0.558592
1,41,0.55264
1,42,0.564992
1,43,0.598912
1,44,0.613248
1,45,0.615488
1,46,0.63072
1,47,0.644416
1,48,0.660224
1,49,0.669056
1,50,0.672512
1,51,0.674816
1,52,0.667072
1,53,0.648576
1,54,0.635456
1,55,0.646336
1,56,0.671168
1,57,0.68896
1,58,0.696128
1,59,0.688
1,60,0.684672
1,61,0.683712
1,62,0.678016
1,63,0.661632
1,64,0.640512
1,65,0.626688
1,66,0.623488
1,67,0.631424
1,68,0.633728
1,69,0.633728
1,70,0.64
1,71,0.64128
1,72,0.642752
1,73,0.639808
1,74,0.622784
1,75,0.598272
1,76,0.578112
1,77,0.56288
1,78,0.554112
1,79,0.56736
1,80,0.583744
1,81,0.5984
1,82,0.614912
1,83,0.620736
1,84,0.62496
1,85,0.623808
1,86,0.61344
1,87,0.601408
1,88,0.587072
1,89,0.571456
1,90,0.5616
1,91,0.573248
1,92,0.592192
1,93,0.5888
1,94,0.583488
1,95,0.574656
1,96,0.557312
1,97,0.557056
1,98,0.574208
1,99,0.588288
1,100,0.5904
1,101,0.578624
1,102,0.568448
1,103,0.571392
1,104,0.581888
1,105,0.58784
1,106,0.589248
1,107,0.577984
1,108,0.57056
1,109,0.588416
1,110,0.599232
1,111,0.576576
1,112,0.54368
1,113,0.524864
1,114,0.534784
1,115,0.571776
1,116,0.599808
1,117,0.606848
1,118,0.605376
1,119,0.603968
1,120,0.598784
1,121,0.596096
1,122,0.607104
1,123,0.628544
1,124,0.637504
1,125,0.635136
1,126,0.635904
1,127,0.646528
1,128,0.657472
1,129,0.64832
1,130,0.630912
1,131,0.603264
1,132,0.582528
1,133,0.572224
1,134,0.586816
1,135,0.603584
1,136,0.616768
1,137,0.63136
1,138,0.625728
1,139,0.609088
1,140,0.59392
1,141,0.584384
1,142,0.579008
1,143,0.584128
1,144,0.597248
1,145,0.601408
1,146,0.593792
1,147,0.585088
1,148,0.578304
1,149,0.586688
1,150,0.600832
1,151,0.616832
1,152,0.620992
1,153,0.627712
1,154,0.624576
1,155,0.608576
1,156,0.591744
1,157,0.584512
1,158,0.58272
1,159,0.582464
1,160,0.5776
1,161,0.567296
1,162,0.553344
1,163,0.556032
1,164,0.568512
1,165,0.572992
1,166,0.572864
1,167,0.555328
1,168,0.544512
1,169,0.533376
1,170,0.528576
1,171,0.525312
1,172,0.524224
1,173,0.52288
1,174,0.528832
1,175,0.520192
1,176,0.511232
1,177,0.513728
1,178,0.514816
1,179,0.506816
1,180,0.514624
1,181,0.539968
1,182,0.56448
1,183,0.571392
1,184,0.575168
1,185,0.587968
1,186,0.60864
1,187,0.619328
1,188,0.617536
1,189,0.605888
1,190,0.594688
1,191,0.610304
1,192,0.625344
1,193,0.629504
1,194,0.631488
1,195,0.625344
1,196,0.617728
1,197,0.5984
1,198,0.575104
1,199,0.570432
1,200,0.579328
1,201,0.582144
1,202,0.58272
1,203,0.587648
1,204,0.593216
1,205,0.59072
1,206,0.595584
1,207,0.598272
1,208,0.596416
1,209,0.590464
1,210,0.572416
1,211,0.5808
1,212,0.6256
1,213,0.674368
1,214,0.68736
1,215,0.694912
1,216,0.690112
1,217,0.68128
1,218,0.66272
1,219,0.638912
1,220,0.62336
1,221,0.619264
1,222,0.619072
1,223,0.639744
1,224,0.661504
1,225,0.668992
1,226,0.66976
1,227,0.661952
1,228,0.653632
1,229,0.636544
1,230,0.609152
1,231,0.581504
1,232,0.573568
1,233,0.596416
1,234,0.620928
1,235,0.621888
1,236,0.613568
1,237,0.625664
1,238,0.636032
1,239,0.632768
1,240,0.626432
1,241,0.624128
1,242,0.615744
1,243,0.59936
1,244,0.581184
1,245,0.564864
1,246,0.572032
1,247,0.59648
1,248,0.623104
1,249,0.64512
1,250,0.647232
1,251,0.618112
1,252,0.5856
1,253,0.563136
1,254,0.552448
1,255,0.543808
1,256,0.533888
1,257,0.5312
1,258,0.530304
1,259,0.523648
1,260,0.507264
1,261,0.504832
1,262,0.52128
1,263,0.528
1,264,0.529856
1,265,0.530816
1,266,0.5296
1,267,0.532288
1,268,0.528704
1,269,0.511168
1,270,0.496768
1,271,0.47552
1,272,0.474048
1,273,0.487232
1,274,0.509696
1,275,0.528
1,276,0.531904
1,277,0.529728
1,278,0.548736
1,279,0.578752
1,280,0.612544
1,281,0.63328
1,282,0.626496
1,283,0.607488
1,284,0.59008
1,285,0.58752
1,286,0.598912
1,287,0.589568
1,288,0.559616
1,289,0.534912
1,290,0.528832
1,291,0.534912
1,292,0.51072
1,293,0.483776
1,294,0.464128
1,295,0.446784
1,296,0.45632
1,297,0.47456
1,298,0.48128
1,299,0.484544
1,300,0.484352
1,301,0.483904
1,302,0.473728
1,303,0.479168
1,304,0.500416
1,305,0.515456
1,306,0.53792
1,307,0.549248
1,308,0.562752
1,309,0.576704
1,310,0.580928
1,311,0.584576
1,312,0.591808
1,313,0.597952
1,314,0.60096
1,315,0.600832
1,316,0.60192
1,317,0.594496
1,318,0.567168
1,319,0.521856
1,320,0.48224
1,321,0.508096
1,322,0.56384
1,323,0.599744
1,324,0.606848
1,325,0.596096
1,326,0.573824
1,327,0.535104
1,328,0.498752
1,329,0.472512
1,330,0.464832
1,331,0.468288
1,332,0.46528
1,333,0.461824
1,334,0.466304
1,335,0.480512
1,336,0.515776
1,337,0.548288
1,338,0.5808
1,339,0.61056
1,340,0.624704
1,341,0.584256
1,342,0.536384
1,343,0.522368
1,344,0.514816
