deviant_position,repetition,mean_rep1_posterior,sem,p_corrected,significant
1,1,0.5267833373402325,0.007034570712082681,0.0104,True
1,2,0.4897912034393717,0.007232950004874151,0.9982,False
1,3,0.48059423892235453,0.006682590266758278,0.2466,False
1,4,0.47996726570727694,0.006642840997601417,0.1488,False
1,5,0.48631269887267703,0.007115347819279485,0.9062,False
1,6,0.49382402606044595,0.006861189145630194,1.0,False
1,7,0.4839464792264694,0.006108974690046163,0.338,False
1,8,0.4755894235537666,0.007181343442792081,0.0514,False
1,9,0.48455972649867335,0.006219378956501421,0.5034,False
1,10,0.4775328133752254,0.0070668863741918326,0.1056,False
1,11,0.47177819869365717,0.006832827931529689,0.0028,True
1,12,0.4615126404661306,0.006518122784534431,0.0002,True
1,13,0.4617740364216249,0.00631225032515452,0.0002,True
1,14,0.46552949446597636,0.006920405904215232,0.0002,True
1,15,0.4737160769704837,0.0066295879543109395,0.0114,True
2,1,0.5553960781948347,0.008881950432655704,0.0002,True
2,2,0.4934581693891792,0.009093315050446955,1.0,False
2,3,0.47669227368268374,0.009402869548511246,0.6268,False
2,4,0.47732832902575106,0.007916682372982969,0.178,False
2,5,0.46661270016018835,0.008943457837474843,0.0262,True
2,6,0.47140931213286996,0.008629774257419958,0.0922,False
2,7,0.46346562793614576,0.007792937250807053,0.0012,True
2,8,0.45580916491540646,0.009478429307760784,0.0012,True
2,9,0.4627069152574503,0.009330937025433835,0.009,True
2,10,0.4556708468078357,0.009219985778355646,0.0006,True
2,11,0.4478973564147623,0.008435929661344817,0.0002,True
2,12,0.4667420446186022,0.008564162080406135,0.0118,True
2,13,0.4593661504714971,0.00897894961313867,0.0016,True
2,14,0.4509851001019545,0.007670180160967103,0.0002,True
2,15,0.4362097456273117,0.007634475607047666,0.0002,True
3,1,0.5511042686811333,0.008336022424748438,0.0002,True
3,2,0.49126450886518025,0.008103916187334718,1.0,False
3,3,0.48586104588481704,0.007802098024456335,0.9882,False
3,4,0.480218701385364,0.008141465100431742,0.4636,False
3,5,0.4819991286206873,0.007682613142663398,0.6588,False
3,6,0.46477049258037806,0.009292654501451158,0.0226,True
3,7,0.46432759884565267,0.009237118520393817,0.0116,True
3,8,0.45193545691651804,0.007993705989395548,0.0002,True
3,9,0.45757026460626543,0.00839715928808649,0.0002,True
3,10,0.44592369388246844,0.006985390273542828,0.0002,True
3,11,0.4489390164027533,0.007647115230747168,0.0002,True
3,12,0.46687458774998397,0.008028455224755772,0.0032,True
3,13,0.45783716734612606,0.008294953698643472,0.0002,True
3,14,0.4483168830523335,0.007476366892158087,0.0002,True
3,15,0.44901672377845553,0.007289751681788622,0.0002,True
