deviant_position,sign,repetition_start,repetition_end,time_start_ms,time_end_ms,cluster_mass,p_corrected,significant
1,positive,1,1,50,70,2.031132882228815,1.0,False
1,positive,1,1,120,145,3.765576920021496,0.9966,False
1,positive,1,1,185,200,2.6135976023711476,1.0,False
1,positive,1,2,210,250,12.906698305278738,0.4106,False
1,positive,1,2,280,285,2.639999693965597,1.0,False
1,positive,1,1,310,315,0.8388362260834024,1.0,False
1,positive,1,7,415,450,10.605704506697471,0.5678,False
1,positive,2,4,560,565,3.080547722203743,0.9996,False
1,positive,3,4,530,535,0.47856503944764395,1.0,False
1,positive,5,6,460,460,0.8568253313793264,1.0,False
1,positive,5,5,475,480,0.033506159336012864,1.0,False
1,positive,5,6,490,490,0.38574417838873654,1.0,False
1,positive,6,7,375,375,1.4415615683174212,1.0,False
1,positive,6,6,530,535,0.4292584404987303,1.0,False
1,positive,6,6,560,560,0.05003547587626178,1.0,False
1,positive,8,8,505,510,0.014825042132297073,1.0,False
1,positive,8,11,535,540,3.560602480397646,0.9978,False
1,positive,14,14,475,475,0.02821833629312831,1.0,False
1,negative,2,15,15,305,813.1952629487969,0.0002,True
1,negative,2,8,335,360,14.366473691839857,0.3284,False
1,negative,3,4,145,155,2.8282588707633565,0.9998,False
1,negative,3,4,165,175,3.2160817258311045,0.999,False
1,negative,4,4,5,5,0.1233722538558375,1.0,False
1,negative,4,4,125,130,0.6361185770585696,1.0,False
1,negative,4,4,230,240,0.6961346737809169,1.0,False
1,negative,6,8,310,325,6.28873166620447,0.917,False
1,negative,7,8,90,95,1.7488520441117132,1.0,False
1,negative,7,7,580,580,0.1394319204473975,1.0,False
1,negative,8,15,430,460,29.95473665660879,0.0476,True
1,negative,9,11,340,340,1.4473259545636403,1.0,False
1,negative,10,10,310,310,0.23009381931616124,1.0,False
1,negative,10,14,380,385,4.563775434469138,0.9864,False
1,negative,11,15,350,365,7.415339261561197,0.8364,False
1,negative,11,14,395,405,3.3855171664952737,0.9984,False
1,negative,12,12,5,5,0.022952808097691957,1.0,False
1,negative,12,14,550,555,3.2917735710331772,0.9988,False
1,negative,13,14,520,525,1.0803415468054718,1.0,False
1,negative,13,14,580,600,4.5157746517420865,0.987,False
1,negative,14,14,570,570,0.5143809431973438,1.0,False
2,positive,1,1,135,135,0.12112406241927998,1.0,False
2,positive,1,4,165,180,4.159354533676796,0.9922,False
2,positive,1,1,220,285,30.154763526028503,0.0458,True
2,positive,1,1,305,355,11.814331877539257,0.478,False
2,positive,1,2,370,385,1.3542462964591517,1.0,False
2,positive,1,2,395,420,8.497956773084464,0.7482,False
2,positive,1,2,445,450,0.28413270026865955,1.0,False
2,positive,2,3,210,215,1.4729525081457626,1.0,False
2,positive,4,7,10,20,2.1728168422234804,1.0,False
2,positive,4,4,50,50,0.044414980492434086,1.0,False
