channel_matlab,group,pips_per_channel
1,ground,60
2,ground,60
3,figure,60
4,ground,60
5,figure,60
6,ground,60
7,ground,60
8,ground,60
9,ground,60
10,figure,60
11,ground,60
12,ground,60
13,ground,60
14,figure,60
15,ground,60
16,ground,60
17,figure,60
18,ground,60
19,ground,60
20,ground,60
21,ground,60
22,figure,60
23,ground,60
24,figure,60
25,ground,60
26,ground,60
27,ground,60
28,figure,60
29,ground,60
30,ground,60
31,ground,60
32,ground,60
33,figure,60
34,ground,60
35,ground,60
36,figure,60
37,ground,60
