sequence,sequence_time_ms,balanced_accuracy,ci95_low,ci95_high,cluster_p_fwer,cluster_significant
AB,0,0.5,0.5,0.5,1.0,0
AB,5,1.0,1.0,1.0,0.00048828125,1
AB,10,1.0,1.0,1.0,0.00048828125,1
AB,15,1.0,1.0,1.0,0.00048828125,1
AB,20,1.0,1.0,1.0,0.00048828125,1
AB,25,1.0,1.0,1.0,0.00048828125,1
AB,30,1.0,1.0,1.0,0.00048828125,1
AB,35,1.0,1.0,1.0,0.00048828125,1
AB,40,1.0,1.0,1.0,0.00048828125,1
AB,45,1.0,1.0,1.0,0.00048828125,1
AB,50,1.0,1.0,1.0,0.00048828125,1
AB,55,1.0,1.0,1.0,0.00048828125,1
AB,60,1.0,1.0,1.0,0.00048828125,1
AB,65,1.0,1.0,1.0,0.00048828125,1
AB,70,1.0,1.0,1.0,0.00048828125,1
AB,75,0.5,0.5,0.5,1.0,0
AB,80,1.0,1.0,1.0,0.00048828125,1
AB,85,1.0,1.0,1.0,0.00048828125,1
AB,90,1.0,1.0,1.0,0.00048828125,1
AB,95,1.0,1.0,1.0,0.00048828125,1
AB,100,1.0,1.0,1.0,0.00048828125,1
AB,105,1.0,1.0,1.0,0.00048828125,1
AB,110,1.0,1.0,1.0,0.00048828125,1
AB,115,1.0,1.0,1.0,0.00048828125,1
AB,120,1.0,1.0,1.0,0.00048828125,1
AB,125,1.0,1.0,1.0,0.00048828125,1
AB,130,1.0,1.0,1.0,0.00048828125,1
AB,135,1.0,1.0,1.0,0.00048828125,1
AB,140,1.0,1.0,1.0,0.00048828125,1
AB,145,1.0,1.0,1.0,0.00048828125,1
AB,150,1.0,1.0,1.0,0.00048828125,1
AB,155,0.5,0.5,0.5,1.0,0
AB,160,0.5,0.5,0.5,1.0,0
AB,165,0.5,0.5,0.5,1.0,0
AB,170,0.5,0.5,0.5,1.0,0
AB,175,0.5,0.5,0.5,1.0,0
AB,180,0.5,0.5,0.5,1.0,0
AB,185,0.5,0.5,0.5,1.0,0
AB,190,0.5,0.5,0.5,1.0,0
AB,195,0.5,0.5,0.5,1.0,0
AB,200,0.5,0.5,0.5,1.0,0
AB,205,0.5,0.5,0.5,1.0,0
AB,210,0.5,0.5,0.5,1.0,0
AB,215,0.5,0.5,0.5,1.0,0
AB,220,0.5,0.5,0.5,1.0,0
AB,225,0.5,0.5,0.5,1.0,0
AB,230,0.5,0.5,0.5,1.0,0
AB,235,0.5,0.5,0.5,1.0,0
AB,240,0.5,0.5,0.5,1.0,0
AB,245,0.5,0.5,0.5,1.0,0
AB,250,0.5,0.5,0.5,1.0,0
AB,255,0.5,0.5,0.5,1.0,0
AB,260,0.5,0.5,0.5,1.0,0
AB,265,0.5,0.5,0.5,1.0,0
AB,270,0.5,0.5,0.5,1.0,0
AB,275,0.5,0.5,0.5,1.0,0
AB,280,0.5,0.5,0.5,1.0,0
AB,285,0.5,0.5,0.5,1.0,0
AB,290,0.5,0.5,0.5,1.0,0
AB,295,0.5,0.5,0.5,1.0,0
AB,300,0.5,0.5,0.5,1.0,0
AB,305,0.5,0.5,0.5,1.0,0
AB,310,0.5,0.5,0.5,1.0,0
AB,315,0.5,0.5,0.5,1.0,0
AB,320,0.5,0.5,0.5,1.0,0
AB,325,0.5,0.5,0.5,1.0,0
AB,330,0.5,0.5,0.5,1.0,0
AB,335,0.5,0.5,0.5,1.0,0
AB,340,0.5,0.5,0.5,1.0,0
AB,345,0.5,0.5,0.5,1.0,0
AB,350,0.5,0.5,0.5,1.0,0
AB,355,0.5,0.5,0.5,1.0,0
AB,360,0.5,0.5,0.5,1.0,0
AB,365,0.5,0.5,0.5,1.0,0
AB,370,0.5,0.5,0.5,1.0,0
AB,375,0.5,0.5,0.5,1.0,0
AB,380,0.5,0.5,0.5,1.0,0
AB,385,0.5,0.5,0.5,1.0,0
AB,390,0.5,0.5,0.5,1.0,0
AB,395,0.5,0.5,0.5,1.0,0
AB,400,0.5,0.5,0.5,1.0,0
AB,405,0.5,0.5,0.5,1.0,0
AB,410,0.5,0.5,0.5,1.0,0
AB,415,0.5,0.5,0.5,1.0,0
AB,420,0.5,0.5,0.5,1.0,0
AB,425,0.5,0.5,0.5,1.0,0
AB,430,0.5,0.5,0.5,1.0,0
AB,435,0.5,0.5,0.5,1.0,0
AB,440,0.5,0.5,0.5,1.0,0
AB,445,0.5,0.5,0.5,1.0,0
