condition,sequence,role,seed,target_response
intact,AB,predicted,0,5.826441881173889
intact,AB,predicted,1,5.853238686770723
intact,AB,predicted,2,5.84137734663935
intact,AB,predicted,3,5.832676438568509
intact,AB,predicted,4,5.816618471397975
intact,AB,predicted,5,5.83701248660171
intact,AB,predicted,6,5.8134983886386555
intact,AB,predicted,7,5.825299331645227
intact,AB,predicted,8,5.831996112198169
intact,AB,predicted,9,5.794788168236702
intact,AB,predicted,10,5.849924411971355
intact,AB,predicted,11,5.823924948078511
intact,AB,unexpected,0,6.005545743430906
intact,AB,unexpected,1,6.010618658900104
intact,AB,unexpected,2,6.007625463087637
intact,AB,unexpected,3,5.985469124094137
intact,AB,unexpected,4,5.976073440046704
intact,AB,unexpected,5,6.001098291369452
intact,AB,unexpected,6,5.988185250059494
intact,AB,unexpected,7,6.005896663278346
intact,AB,unexpected,8,5.983418568898457
intact,AB,unexpected,9,5.9561367415127355
intact,AB,unexpected,10,6.009722646787086
intact,AB,unexpected,11,5.981826022468139
intact,BA,predicted,0,5.821230317246282
intact,BA,predicted,1,5.818732164926015
intact,BA,predicted,2,5.8102639014717035
intact,BA,predicted,3,5.843253321895873
intact,BA,predicted,4,5.844605017079386
intact,BA,predicted,5,5.826530917322851
intact,BA,predicted,6,5.838303546942509
intact,BA,predicted,7,5.81438817014662
intact,BA,predicted,8,5.843611043104493
intact,BA,predicted,9,5.873024828157539
intact,BA,predicted,10,5.81501803189918
intact,BA,predicted,11,5.8342653480374995
intact,BA,unexpected,0,5.993556596333235
intact,BA,unexpected,1,5.974557116113954
intact,BA,unexpected,2,5.978526980747877
intact,BA,unexpected,3,6.002374794955046
intact,BA,unexpected,4,6.009115774863032
intact,BA,unexpected,5,5.989710860484456
intact,BA,unexpected,6,6.0104078651389
intact,BA,unexpected,7,5.992389328583047
intact,BA,unexpected,8,5.997033390001684
intact,BA,unexpected,9,6.032469777840512
intact,BA,unexpected,10,5.976058661673311
intact,BA,unexpected,11,5.99626662690672
no_depression,AB,predicted,0,8.397333769179063
no_depression,AB,predicted,1,8.424283155831038
no_depression,AB,predicted,2,8.430096500216736
no_depression,AB,predicted,3,8.457266448597164
no_depression,AB,predicted,4,8.437900829684336
no_depression,AB,predicted,5,8.418638720613073
no_depression,AB,predicted,6,8.401660218090457
no_depression,AB,predicted,7,8.399055462562782
no_depression,AB,predicted,8,8.444073720663432
no_depression,AB,predicted,9,8.411053497184225
no_depression,AB,predicted,10,8.424593351772987
no_depression,AB,predicted,11,8.42483408716936
no_depression,AB,unexpected,0,8.667080143631146
no_depression,AB,unexpected,1,8.652164691630864
no_depression,AB,unexpected,2,8.666622270720834
no_depression,AB,unexpected,3,8.667020388661273
no_depression,AB,unexpected,4,8.666914573902002
no_depression,AB,unexpected,5,8.66491253477225
no_depression,AB,unexpected,6,8.665981415501342
no_depression,AB,unexpected,7,8.666838965733216
no_depression,AB,unexpected,8,8.664654437417726
no_depression,AB,unexpected,9,8.655635672470918
no_depression,AB,unexpected,10,8.66667944034688
no_depression,AB,unexpected,11,8.66682082736863
no_depression,BA,predicted,0,8.414945234171746
no_depression,BA,predicted,1,8.448537725869482
no_depression,BA,predicted,2,8.420243637125397
no_depression,BA,predicted,3,8.40335153483402
no_depression,BA,predicted,4,8.408573548513804
no_depression,BA,predicted,5,8.427051710992647
no_depression,BA,predicted,6,8.42197472780211
no_depression,BA,predicted,7,8.399986567545659
no_depression,BA,predicted,8,8.421917643024369
no_depression,BA,predicted,9,8.434997325473098
no_depression,BA,predicted,10,8.415350734610115
no_depression,BA,predicted,11,8.40542761925434
