sequence,role,seed,surprisal_bits,target_channel_rate,all_channel_mean_rate
AB,predicted,0,0.23446525363702297,9.121543570420227,4.560771785210113
AB,predicted,1,0.23446525363702297,9.164144979667935,4.582072489833969
AB,predicted,2,0.23446525363702297,9.16510947566289,4.582554737831444
AB,predicted,3,0.23446525363702297,9.188863577024584,4.594431788512292
AB,predicted,4,0.23446525363702297,9.158158664666308,4.579079332333155
AB,predicted,5,0.23446525363702297,9.159433354006612,4.579716677003305
AB,predicted,6,0.23446525363702297,9.124528809302676,4.562264404651338
AB,predicted,7,0.23446525363702297,9.124147718510152,4.562073859255074
AB,predicted,8,0.23446525363702297,9.176999755397276,4.588499877698639
AB,predicted,9,0.23446525363702297,9.122534363567713,4.561267181783856
AB,predicted,10,0.23446525363702297,9.166580599961756,4.583290299980879
AB,predicted,11,0.23446525363702297,9.163642061386833,4.581821030693416
AB,unexpected,0,2.736965594166206,9.613909498708884,4.80695474935444
AB,unexpected,1,2.736965594166206,9.61100893710734,4.80550446855367
AB,unexpected,2,2.736965594166206,9.615167769193217,4.807583884596608
AB,unexpected,3,2.736965594166206,9.603990369461268,4.801995184730634
AB,unexpected,4,2.736965594166206,9.602124831079662,4.80106241553983
AB,unexpected,5,2.736965594166206,9.61189169252682,4.805945846263411
AB,unexpected,6,2.736965594166206,9.604223838331691,4.802111919165844
AB,unexpected,7,2.736965594166206,9.613170412743466,4.806585206371735
AB,unexpected,8,2.736965594166206,9.60636663545775,4.803183317728875
AB,unexpected,9,2.736965594166206,9.597146073314171,4.7985730366570865
AB,unexpected,10,2.736965594166206,9.616711871428658,4.80835593571433
AB,unexpected,11,2.736965594166206,9.60434634083619,4.802173170418095
BA,predicted,0,0.23446525363702297,9.140482935783119,4.570241467891559
BA,predicted,1,0.23446525363702297,9.169735141869964,4.584867570934982
BA,predicted,2,0.23446525363702297,9.135675336165086,4.567837668082543
BA,predicted,3,0.23446525363702297,9.13999975326767,4.569999876633835
BA,predicted,4,0.23446525363702297,9.151585049682495,4.575792524841247
BA,predicted,5,0.23446525363702297,9.150955021725718,4.575477510862859
BA,predicted,6,0.23446525363702297,9.149315653108806,4.574657826554403
BA,predicted,7,0.23446525363702297,9.123199719133684,4.561599859566841
BA,predicted,8,0.23446525363702297,9.163140920104906,4.581570460052454
BA,predicted,9,0.23446525363702297,9.19037672734579,4.595188363672895
BA,predicted,10,0.23446525363702297,9.145576086821606,4.572788043410802
BA,predicted,11,0.23446525363702297,9.144830287549432,4.572415143774715
BA,unexpected,0,2.736965594166206,9.606465152578492,4.803232576289246
BA,unexpected,1,2.736965594166206,9.60021307579879,4.800106537899395
BA,unexpected,2,2.736965594166206,9.6032355056584,4.801617752829199
BA,unexpected,3,2.736965594166206,9.613229730343924,4.806614865171962
BA,unexpected,4,2.736965594166206,9.61324071470851,4.806620357354256
BA,unexpected,5,2.736965594166206,9.608009524362076,4.804004762181038
BA,unexpected,6,2.736965594166206,9.615172233122365,4.807586116561184
BA,unexpected,7,2.736965594166206,9.606424881173607,4.803212440586804
BA,unexpected,8,2.736965594166206,9.613459713980367,4.806729856990183
BA,unexpected,9,2.736965594166206,9.623247625535223,4.811623812767611
BA,unexpected,10,2.736965594166206,9.603087183201152,4.801543591600578
BA,unexpected,11,2.736965594166206,9.614111677531383,4.807055838765692
