context,seed,training_pair,w_A_from_A,w_A_from_B,w_B_from_A,w_B_from_B
AB_context,0,0,0.0,0.0,0.0,0.0
AB_context,0,25,0.12308295270158533,0.0017546339939548872,0.1500919960169637,0.12255618462840355
AB_context,0,50,0.12439199570503275,0.0,0.19889005026103176,0.12431651886782613
AB_context,0,75,0.12439975396525728,0.028033106866972586,0.18656693486598064,0.12435594953237464
AB_context,0,100,0.1244020119942715,0.009105377885538531,0.1888027933295354,0.12435210127168722
AB_context,0,125,0.12440623241838891,0.0,0.20903376189577963,0.1243393464245673
AB_context,0,150,0.12440221477603124,0.0,0.20002030540739463,0.12434877540622727
AB_context,0,175,0.12439506086112048,0.014997609094530446,0.19014625341937005,0.12436067431331067
AB_context,0,200,0.12440311089361937,0.0,0.2040424319921802,0.12434567018301453
AB_context,0,225,0.1244004529530347,0.003446570687124127,0.1929407120005593,0.12435302153709776
AB_context,0,250,0.12440649136272813,0.0,0.20976615574653654,0.12433877753767783
AB_context,0,275,0.12440756322335596,0.0,0.21342315645605417,0.12433604894323808
AB_context,0,300,0.12440526968870338,0.0,0.21134140098702173,0.12434049697496091
AB_context,0,325,0.12440098976916553,0.00784526858683613,0.20413869666682533,0.12434876085424386
AB_context,0,350,0.1244078213322145,0.0,0.2133530716260712,0.12433555846436758
AB_context,0,375,0.1244057067443025,0.0,0.21159014432025197,0.12433973893750627
AB_context,0,400,0.12440789512076383,0.0,0.21543778746157355,0.1243348934068751
AB_context,1,0,0.0,0.0,0.0,0.0
AB_context,1,25,0.12305195352710994,0.025842116649261906,0.1358192872468085,0.12260663441566502
AB_context,1,50,0.12438400442115596,0.007688853288490403,0.17767886540217961,0.12433398570965573
AB_context,1,75,0.12440777563209002,0.0,0.20969514944762355,0.12433576519907108
AB_context,1,100,0.1244026727663702,0.0,0.2057376091530933,0.12434612608830524
AB_context,1,125,0.12440248315149015,0.002450925893433548,0.20263963764473403,0.124347014663376
AB_context,1,150,0.12439007197273293,0.025912718932823386,0.18681326755585592,0.1243679360254104
AB_context,1,175,0.12440786753259574,0.0,0.2124336467627669,0.12433567251594235
AB_context,1,200,0.12440613580199082,0.0,0.21193662725790355,0.1243389285422109
AB_context,1,225,0.12439316314699506,0.027017319928882996,0.1923302013297736,0.1243629222372679
AB_context,1,250,0.12439675373693979,0.0133177513556451,0.19516292062145282,0.12435680069406244
AB_context,1,275,0.12439991670593659,0.00781894706858929,0.19963588250520412,0.12435138322802218
AB_context,1,300,0.12439628434286,0.01330773434118848,0.189849140377064,0.12435942777364972
AB_context,1,325,0.12440218927884025,0.0,0.2044169675654068,0.12434709150180023
AB_context,1,350,0.12440815226056977,0.0,0.2162718704171586,0.12433411038179772
AB_context,1,375,0.12440097136103347,0.013317686602788596,0.21054259742500855,0.12434653453544368
AB_context,1,400,0.12440107338085357,0.00783363684881714,0.20213898820948475,0.12434922275923135
AB_context,2,0,0.0,0.0,0.0,0.0
AB_context,2,25,0.12308572400800828,0.0,0.15095550143840897,0.12255396966738216
AB_context,2,50,0.12438763291352138,0.0077783457249852115,0.1927927084181139,0.12432459914051201
AB_context,2,75,0.12439978530938996,0.013317764264239652,0.20083661215675985,0.12435011646469317
AB_context,2,100,0.12440156460529228,0.0,0.1987620739371247,0.12434977105826103
AB_context,2,125,0.12440758721491812,0.0,0.21209315320905744,0.1243362973294628
