task,lesion,retention_mean,retention_ci95_low,retention_ci95_high,ablation_effect_1_minus_retention,exact_within_task_maxT_q,holm_TOST_q,status
roving,no_depression,-0.01693006246626103,-0.017125836017376588,-0.016763749156316423,1.016930062466261,0.000732243104710764,1.0,changed
roving,no_recurrent_learning,1.0113372433226664,1.0111189378642118,1.0115991845698127,-0.01133724332266639,0.000732243104710764,2.172300588513919e-34,equivalent
roving,uniform_inhibition,1.0346649408031656,1.0345413077346126,1.03481581202561,-0.03466494080316562,0.000732243104710764,1.7371107043814294e-28,equivalent
ab_ba,no_depression,1.3101112106263306,1.3028286622826935,1.3170792649096583,-0.3101112106263306,0.000732243104710764,1.0,changed
ab_ba,no_recurrent_learning,0.0,0.0,0.0,1.0,0.000732243104710764,1.0,changed
ab_ba,uniform_inhibition,0.1644905682185334,0.16188074546934983,0.16723901635071528,0.8355094317814666,0.000732243104710764,1.0,changed
sfg,no_depression,0.1163593480182656,0.10917737341273195,0.12406995189439428,0.8836406519817344,0.000732243104710764,1.0,changed
sfg,no_recurrent_learning,0.0,0.0,0.0,1.0,0.000732243104710764,1.0,changed
sfg,uniform_inhibition,0.9012250349613016,0.8889736748617004,0.9130316133401392,0.09877496503869843,0.000732243104710764,3.710324454239112e-08,equivalent
saffran,no_depression,1.0,1.0,1.0,0.0,1.0,0.0,equivalent
saffran,no_recurrent_learning,0.9791666666666666,0.9375,1.0,0.02083333333333337,1.0,3.263034457891044e-06,equivalent
saffran,uniform_inhibition,1.0,1.0,1.0,0.0,1.0,0.0,equivalent
saffran,single_rate_readout,0.0,0.0,0.0,1.0,0.000732243104710764,1.0,changed
