task,condition,seed_index,seed,native_effect,metric
roving,intact,0,11,0.3103797216535793,suppression index
roving,intact,1,23,0.3031183610553054,suppression index
roving,intact,2,37,0.3103685439422794,suppression index
roving,intact,3,41,0.2878695852560556,suppression index
roving,intact,4,53,0.3101502244799303,suppression index
roving,intact,5,67,0.3101783931212485,suppression index
roving,intact,6,79,0.30311294847496945,suppression index
roving,intact,7,97,0.3104380584309856,suppression index
roving,intact,8,101,0.31069520581021914,suppression index
roving,intact,9,109,0.29545521991927903,suppression index
roving,intact,10,127,0.3033239826335962,suppression index
roving,intact,11,139,0.310695523800857,suppression index
roving,no_depression,0,11,-0.005184452044025795,suppression index
roving,no_depression,1,23,-0.005109978608734713,suppression index
roving,no_depression,2,37,-0.00519961410868097,suppression index
roving,no_depression,3,41,-0.005086171557351722,suppression index
roving,no_depression,4,53,-0.005137253053273231,suppression index
roving,no_depression,5,67,-0.005188796357975954,suppression index
roving,no_depression,6,79,-0.005203510461141924,suppression index
roving,no_depression,7,97,-0.005193181904948426,suppression index
roving,no_depression,8,101,-0.0051986524052109314,suppression index
roving,no_depression,9,109,-0.005170381928355153,suppression index
roving,no_depression,10,127,-0.005191466512548071,suppression index
roving,no_depression,11,139,-0.005198523107714503,suppression index
roving,no_recurrent_learning,0,11,0.3138031759736528,suppression index
roving,no_recurrent_learning,1,23,0.30655349015227834,suppression index
roving,no_recurrent_learning,2,37,0.313803819367146,suppression index
roving,no_recurrent_learning,3,41,0.291439411572921,suppression index
roving,no_recurrent_learning,4,53,0.3135365975163318,suppression index
roving,no_recurrent_learning,5,67,0.3136032830458481,suppression index
roving,no_recurrent_learning,6,79,0.306624188514796,suppression index
roving,no_recurrent_learning,7,97,0.31386976329650684,suppression index
roving,no_recurrent_learning,8,101,0.3141360520524689,suppression index
roving,no_recurrent_learning,9,109,0.2990109032460216,suppression index
roving,no_recurrent_learning,10,127,0.306828930555376,suppression index
roving,no_recurrent_learning,11,139,0.3141360585120971,suppression index
roving,uniform_inhibition,0,11,0.3210915040074101,suppression index
